,Titles,Links,Post_Time,Author,Content
112,Covid isolation within a household,https://patient.info/forums/discuss/covid-isolation-within-a-household-772436,2021-10-17T09:19+00:00,"
                                daniel84894
                            ",i have recently had covid and came out of isolation on the 27th sep. i isolated away from my wife the whole time. my wife has now just tested positive. is there any point in her isolating away from me considering i have just had it? i know its not impossible but can i really be reinfected again so quickly?
113,Is It True The Worse Your Covid is the more Antibodies your body makes.,https://patient.info/forums/discuss/is-it-true-the-worse-your-covid-is-the-more-antibodies-your-body-makes--762817,2021-10-17T02:18+00:00,"
                                randy41812
                            ","It seems reasonable to assume the more Covid Cells in your body ,the more antibodies your body will create to fight those cells. I'm not sure if that's true but who knows and it also depends on a persons immune system and how well it works."
114,My theory: reoccurring covid - weird symptoms ,https://patient.info/forums/discuss/my-theory-reoccurring-covid-weird-symptoms-768223,2021-10-17T01:56+00:00,"
                                emilybinmore
                            ","I just wanted to tell my story and theory because everyone I say it to seems to think I’m some sort of drama queen hypochondriac who is obsessed with COVID. Maybe I am. However, I feel maybe I will get a more sympathetic response here. I live in Bristol England in case that’s relevant.
January 2020 my 18 year old daughter was very sick with a constant - every few seconds cough that lasted for days. She hardly ever gets sick. She had a mild fever and had fatigue. My son and I had very mild flu like symptoms. Since then I have had various random symptoms. A really scary episode where my vision and balance went crazy for a few hours followed by quite a few more milder episodes. Shaking and kind of spasms occasionally. My neighbour who I hang out with was taken to hospital a few months later and put on oxygen despite testing negative for COVID 3 times.
A a few months later I had a few days of feeling poorly with more dizzy spells I took a COVID test. Later that day I got the first nosebleed I have ever had. We all assumed I had irritated my nostril with the swab. Result was negative. The nosebleeds became so extreme it was coming out my eyes and I was in A &E many times and eventually admitted as an in patient and ‘fixed’ in the most painful way.
When my daughter went to her first year at Leeds university she had the same kind of episode of illness she had had previously but perhaps more cold like symptoms but still the cough. That week everyone in her tower block were testing positive for COVID.
A month or two ago I went to see my daughter in Leeds as she was experiencing the same kind of illness only this time she had obviously developed tonsillitis and conjunctivitis alongside the coughing /sore throat. Her flatmates were also poorly but not so bad. After staying with her for two days after not having nosebleeds for months I suddenly got one out of the blue and they escalated in severity again. Leeds student accommodation then suddenly became one of the hot spots of covid with flat mate testing positive. The flatmate was one who hadn’t tested positive previously.
Now in Bristol which has recently become a hotspot my neighbour suddenly had uncontrollable shaking followed by a temperature (39.5) but unusually cold hands. His oxygen level was 95. He felt generally unwell and tired but recovered after 24 hours, apart from a very swollen foot. He had been double vaccinated as have I. He had recently played table tennis at a community centre where my friend’s son has just had to isolate as his team leaders had tested positive after playing table tennis in the same room. My neighbour tested negative 3 times. I just had an episode of sudden hot ear and then cheek for a few hours and felt pretty tired. On the same side as my nosebleeds. My children had a weird reoccurrence of mild eczema.
Is this all just coincidence? I’m wondering if we are possibly catching covid again and again - every time our bodies come into contact with it it is doing it’s best to fight it off and thankfully for my family and friends it seems the symptoms are reducing - possibly due to immunity and vaccinations.
I apologise for this long message but I haven’t seen anyone that has been experiencing anything similar and am just really interested if anyone has similar stories of being exposed to covid again and having symptoms and yet testing negative possibly because our bodies are doing so well at fighting it off we don’t have enough virus in us to test positive.
Thanks for listening and I wish you all good health for the future x"
115,Hair loss after covid ,https://patient.info/forums/discuss/hair-loss-after-covid-769946,2021-10-17T01:44+00:00,"
                                kakemix
                            ","i had covid 6 weeks ago, the past few days i have had excessive hair loss clumps in my brush and hands, my hair is thick and long and down to my bum, i know hair grows back but this is very distressing for me and i cant see it stopping, its giving me extreme anxiety that i am going to go bald, has anyone experienced this? did it stop? did you go bald? how can i help it? how long did it last? i know people have bigger problems but for me this is very worrying, any advice and other experiences would be greatly helpful, thanks for listening "
116,Hives on hands and feet,https://patient.info/forums/discuss/hives-on-hands-and-feet-771607,2021-10-17T01:28+00:00,"
                                matthew44774
                            ","Hello all,

I need some advice for my child.

3-4 weeks ago my partner and I contacted Covid-19.  Just as we were coming to the end of our isolation my 4 year old daughter developed hives on her hands and feet which one hive was covering the entire sole of her left foot! After plenty of sleep and immune boosting foods the hives went away and we are now left with itchy red skin on her hands and feet that are pealing a lot. Is there anything we can do to help make this go away? Has anyone else experienced this? Is this related to covid-19?

any help would be much appreciated!
M"
117,I am scared to death to take the Covid Vaccine,https://patient.info/forums/discuss/i-am-scared-to-death-to-take-the-covid-vaccine-772763,2021-10-16T19:40+00:00,"
                                Crism123
                            ","Just as the title says, I am just scared to death to take it, I want to but my feet go the opposite direction. Specifically being scared of penicillin, I don't have a family history of Penicillin Allergies , I haven't tested myself to know so,I am planning on taking the SinoVac Vaccine, should I be worried? Or should I do an allergy test"
118,Covid ,https://patient.info/forums/discuss/covid-772369,2021-10-09T23:08+00:00,"
                                princess68392
                            ","Hello everyone. I've been tasted positive since 4 days days but I've started to have symptoms like 1 week before.. I've done my 1 st dose astra... And now I don't have any  symptoms like fever,dry cough,headache,like I had 1 week before I'm recovering little by little but I feel like sleeping, fatigue that's it.. Is it normal? Any advice.. Thank you. "
119,TESTED POSITIVE COVID,https://patient.info/forums/discuss/tested-positive-covid-772333,2021-10-08T20:05+00:00,"
                                princess68392
                            ","Hello everyone.. Actually it's been 2 days I've been tested positive... Just to know how many days for the recovery.. As I've done only 1st dose of astrazeneca. And my second was supposed to be done yesterday but I was sick. Like since Sunday the 3rd October to Tuesday 5th I was having fever,  dry cough, tiredness,runny nose,nostril burning,no smell only taste,severe headache and from Wednesday till now i don't have any fever,no headache,I can walk do all my house hold chores.. But I want to know as I am a woman of 26years and I'm 115kg. How many days will I recover? As medicines I'm having a spray for nose bacteria, vitamin c, d, paracetamol that's it.. And now rarely like a day I cough 4 to 5 times compare on to beginning. And on time to time I'm having smell and then no smell at all. Sometime I'm a little hot temperature for like 5minutes and then normal body temperature... If anyone can help I'm very anxious please... Thank you. "
120,Pfizer vaccine symptoms ,https://patient.info/forums/discuss/pfizer-vaccine-symptoms-766656,2021-10-08T10:59+00:00,"
                                Star586
                            ","hi
i had my 1st  pfizer vaccine 4 weeks ago.  i felt unwell after if which lasted about 4  days then i improved and forgot about it however since having it i have felt really really tired and just not myself at all. 

i cant even function throughout the day and feel really achy. 

has any1 else experienced this at all and do you have any advice 

thanks in advance xxx"
121,Very late Covid 2nd dose....worried!,https://patient.info/forums/discuss/very-late-covid-2nd-dose-worried--772283,2021-10-07T19:14+00:00,"
                                fiona69882
                            ","Hi all,

My husband had his first Covid vaccine back in April and he had the AstraZeneca vaccine.

He was extremely poorly for about 5 days with it, he was struggling with breathing, awful fever, vomiting, unable to eat, not sleeping, struggling to drink and severe aching. We did contact the doctor as he never moans about illness's but he was really really bad with this and the doctor said over the phone this was normal and he would be fine in a week.

He had to cancel all his jobs he had booked in as he couldn't move which hit us financially again after the lockdown. He refused to get his 2nd jab after the way he felt.

I am desperate for him to get his 2nd jab and he said he will only go ahead if its the Phizer vaccine. I have tried to ring up to see if its too late for him to have his 2nd jab and is it possible to have the Phizer but they didn't really know if it was too late. They said they think the 1st jab has probably expired by now and to contact the doctor. I have tried to get a telephone appointment with the doctor but they are refusing to book and appointment and asked me to ring the Covid line but they are asking me to ring the doctor....no one will speak to me and i'm worried with all the cases at the moment, if he gets Covid i will lose him!

Does anyone have any advice if its too late to get a 2nd dose nearly 6 months after the 1st jab?

Or, will they give him a 1st jab again and then a 2nd jab?

Is it possible to have Phizer if he didn't have that the first time as he can't have that again?

Thank you all x"
122,Shooting pains in legs...,https://patient.info/forums/discuss/shooting-pains-in-legs--772217,2021-10-07T07:27+00:00,"
                                nicola87179
                            ","hi I started getting symptoms on Sunday and have tested positive today. I have had a massive headache since Sunday but now I am in severe pain with my legs. has anyone else had this with covid,..."
123,"no appetite and sleeping all day, so so tired",https://patient.info/forums/discuss/no-appetite-and-sleeping-all-day-so-so-tired-754115,2021-10-05T17:34+00:00,"
                                rhiannon91220
                            ","Hi, my dads tested positive for covid, hes been feeling rough since monday with headache and earache, but hes also been very very tired with no appetite. he can barely eat anything though hes managing to take a vitamin despite an extra strong gag reflex right now, and hes so tired all day, hes just sleeping and sleeping and sleeping, and when he wakes up he just goes back to sleep because hes so tired. its been 6 days and hes worried, and i am too. he sounds very weak when he speaks as well and hes really cold rather than hot. "
124,Results from UK clinical trials of Pfizer vaccination in children,https://patient.info/forums/discuss/results-from-uk-clinical-trials-of-pfizer-vaccination-in-children-771238,2021-09-26T09:50+00:00,"
                                KeithBoynton
                            ","Hi,

My 12 and 15 year old kids are being offered the Pfizer covid vaccination and I'm not yet convinced how well it has been tested on children in their age group. I'm pro vacinnations and understand there is a benefit to reducing the ability of the virus to mutate by reducing the incubation periods in everyone.

I'm finding it difficult to get hold of any of the official/approved results of the clinical trials that have been carried out and presumably used by the various bodies that have approved it for use.

Does anyone know where I can get hold of the results?"
125,Travel back to UK after being recovered from covid ,https://patient.info/forums/discuss/travel-back-to-uk-after-being-recovered-from-covid-771353,2021-09-22T07:15+00:00,"
                                sergiu44064
                            ","hello,
just been tested positive for covid 19 couple of weeks ago while I was in holiday and fully recovered there, got another test now showing negative.
I would like to know if day 2 tests still valid for people recovered from covid while enter in uk.
Thank you
Sergio"
126,"head cold for a week,  now chest congestion....lost sense of smell ",https://patient.info/forums/discuss/head-cold-for-a-week-now-chest-congestion-lost-sense-of-smell-771199,2021-09-21T20:10+00:00,"
                                moonmull
                            ",wondering if i should be tested for covid.   i had a horrible head cold for about 6 days...on day 5 lost sense of smell....day 7 head is clearing up but now i have some chest congestion...might this be covid?
127,Day 5th of Covid and anxiety getting intense ,https://patient.info/forums/discuss/day-5th-of-covid-and-anxiety-getting-intense-771309,2021-09-21T16:42+00:00,"
                                imlost
                            ","For the past 5 days I've been going through Covid. It started with bad sinus pressure on one side of my face
I was convinced that I'm having sinus infection. My doc told me to get tested and right there I was positive. 
Since then I have a temp that won't go away. Some days is just 99s to 100s and yesterday went up to 101.6. I thought I was improving 😪. I don't have any cough or short breath but I still feel my sinus and temperature gives me crazy anxiety.  I'm 43 in good shape. For the past 3 months I've been working out daily. How many of you had similar symptoms and how long did it take you fight it off ?

"
128,Covid vaccine and thyroiditis or hyperthyroid onset,https://patient.info/forums/discuss/covid-vaccine-and-thyroiditis-or-hyperthyroid-onset-770534,2021-09-20T20:04+00:00,"
                                no83933
                            ","About a week after my first vaccine shot (pfizer), i developed flu-like symptoms. Sweats, palpitations, exhaustion, shakes, trembling, weakness, severe diarrhea etc.  After a week or so, I went to my doctor and we ran blood and stool tests.

I have now been told that my thyroid function is over producing hormones. He called it a hyperthyroid or thyroditis. I swear its due to the covid vaccine, but he assured me it wasn't. I have done some online reading and it seems that i am not alone.  

Anyone else having the same issues. I'm terrified that my doctor brushed it off, and wouldnt give me a medical exemption for my second shot, and now I feel like I should have known better.

Post covid vaccine thyroid issues. Anyone else? Thanks"
129,how do I protect my self from this virus!!!,https://patient.info/forums/discuss/how-do-i-protect-my-self-from-this-virus--771252,2021-09-20T13:38+00:00,"
                                alex85217
                            ","Every time i've done the corona test the result was Positive ,
Im so sad because this virus has delayed my schdule [.](https://www.tnori-tamr.co.il)"
130,Covid toes,https://patient.info/forums/discuss/covid-toes-771119,2021-09-19T22:54+00:00,"
                                dana81686
                            ",my mother's toes are purple and in extreme pain. she had covid last month but no longer has it. anyone else experiencing this ? or have any remedies that may have worked for you? she is in horrible pain and unable to sleep. she went to the doctor and they don't know enough about it.
131,Will my symptoms get worse?,https://patient.info/forums/discuss/will-my-symptoms-get-worse--768111,2021-09-19T19:41+00:00,"
                                charlotte85883
                            ","I tested positive for Covid on a lateral flow test on saturday 31st but had no symptoms at that time. I then did a PCR test on sunday 1st August which came back positive but still had no symptoms. On Monday I started with a mild headache and nasal congestion. Tuesday same symptoms but also a slight cough. Today same symptoms, feel a little warm and sweaty too. My question is how likely are my symptoms to get worse at this point? I'm on day 5 from my first positive test, day 4 from my positive PCR test but only day 3 since my first symptoms began.
Thank you!"
132,Covid vaccination travel rules,https://patient.info/forums/discuss/covid-vaccination-travel-rules-771068,2021-09-17T18:22+00:00,"
                                samuel44437
                            ","Hi. 

My wife is in Brazil (a Red Zone country) and wishes to come to Spain (an Amber Zone country) for a holiday for 2 weeks before finally arriving into the UK. 

I just wanted clarification that spending at least 10 days in an amber zone country means you are treated in the UK as such? i.e. coming directly from a red zone country means you must quarantine in a hotel on your return to the UK but coming from an Amber zone country doesn't have this requirement. 

I hope someone can help :).

Sam"
133,Chest pains,https://patient.info/forums/discuss/chest-pains-755192,2021-09-16T11:47+00:00,"
                                suzanne95232
                            ",has anyone else suffered from chest pains after covid?
134,First dose was hell..now what?,https://patient.info/forums/discuss/first-dose-was-hell-now-what--770119,2021-09-07T23:50+00:00,"
                                tracy4vols
                            ","My first dose of the pfizer covid vaccine was in April 2021. I got very ill that afternoon and stayed ill for 7 days. I got so sick I vowed I wouldn't get the second dose. I haven't yet. Now, because of the delta threat and I am travelling from Al to Ca with work. I really need full vaccination. I'm scared to get that sick again. Should I try a different manufacturer vaccine? Can I do anything to help? I hear 2nd dose is worse. I can't handle worse but dont want to gamble with covid and my life"
135,False positive?,https://patient.info/forums/discuss/false-positive--770354,2021-09-06T22:33+00:00,"
                                meoldcock
                            ","Felt slightly under the weather after spending days with someone with a bad cold. This person tested negative after PCR test so assumed I'd caught the cold but took PCR test the day after just  to be sure. Came back positive. Very unexpected given my situation...also didn't have a temperature...had no cough and didn't lose taste or smell. My wife took a PCR test after this and was negative. Two days after my positive PCR test got a supply of Lateral flow tests for my wife to keep testing herself. Out of curiosity I took an LF test and it was negative...given that this was just 2 days after the positive PCR  and just 3 days after first symptoms I was puzzled. Took 3 more LF tests and all came back negative. Then 4 days after first PCR I took another PCR which today came back negative!
Logic very strongly tells me I've had a false positive PCR...has anyone had or heard of a similar experience?  I don't want to keep self isolating when all logic says I haven't got Covid.  "
136,The covid nasal swab test,https://patient.info/forums/discuss/the-covid-nasal-swab-test-769517,2021-09-05T19:09+00:00,"
                                elle58271
                            ",I received the covid nasal swab test a few days ago. And recently noticed i keep having nose bleeding from the same side the test was taken. is this common? what was your experience?
137,"Covid day 12. Fatigue, whole body feels heavy",https://patient.info/forums/discuss/covid-day-12-fatigue-whole-body-feels-heavy-770097,2021-09-05T19:03+00:00,"
                                mitchell15484
                            ","Hi, im on day 12 with covid symptoms and everything has gone back to normal except i have tiredness that wont go away. I slept for 10 hours last night and woke up feeing like i got 3 hours at the most. My entire body feels heavy like an elephant is laying on top of me.(entire body not chest). I have strength to move around and climb stairs but this urge to sleep wont go away. Also im having a dizziness like sensation. Should i go to the doctor for these symptoms or will they go away on their own? "
138,"Recently recovered, what about future PCR tests?",https://patient.info/forums/discuss/recently-recovered-what-about-future-pcr-tests--768207,2021-09-05T18:55+00:00,"
                                thomas86523
                            ","Hello,

I have just completed the 10 days isolation after having tested positive for covid.

At the time I was abroad so I extended my stay there to complete the isolation period.
I then wanted to travel back to the UK where I live, from all the information I found online it seems that after having tested positive, future PCR tests can still show up as positive for up to 3 months.

When arriving at the Eurostar to travel back to the UK, they would not let me through without a negative test even after explaining the situation, and showing proof by my doctor that I tested positive and completed the isolation period and have no symptoms.

They then told me to do a quick test in a pharmacy in the train station and somehow (I have no idea how) the result was negative, without this they would not let me travel back to the UK at all.

Which to me seems they didn't think through this kind of situation...

Now before being allowed on the train I also had to book the day 2 and day 8 PCR test (hasn't been 2 weeks since my second dose yet) so now back in the UK I have to complete 2 more test and I'm very aware that these could show up positive again... resulting in being seen as a new infection while it obviously wouldn't be.

To me this makes no sense, I called NHS multiple times and it seems like everybody just has no idea themselves.
I was wondering if anybody has been in a similar situation?

Another question I have, on the NHS app it says as one of the 4 reasons to get a NHS COVID Pass:

'Natural immunity
If you've previously tested positive for COVID-19 using a PCR test, and it's been at least 10 days since your positive result, you are eligible for an NHS COVID Pass for up to 180 days from the test date.'

Now it's been over 10 days and this hasn't showed up, I called NHS about this and it even seems like thre is no record of my postive test on my profile... 
How do I get this NHS COVID pass after having tested positive?

Sorry for the long message, really hope to get some help :)

Have a nice day"
139,Is it covid or just a normal flu ? ,https://patient.info/forums/discuss/is-it-covid-or-just-a-normal-flu--770219,2021-09-05T18:51+00:00,"
                                fati88188
                            ","I was sick a while ago with what i believe and still believe was covid . after a while i was completely cured and fine . i got my first vaccine dosage on the 25  of last month and had to move out to a new place due to work, next to it was a beach , so i went for some quality time , got sunburned and stuff but everything was fine  . two days later i started to feel a headache , fever , and eye sore . my nose was still damaged from my first incident so it got more worse  ,which scared me even more . luckily my smelling sense is back now but the other symptoms are not that severe the fever and headache are kinda annoying . is it covid or just a normal flu , i pray the lord it is not covid because it took me alot to heal and i need to start my work next week . "
140,Breakthrough July 2021 COVID  case after March 2021 vaccination - mild symptoms,https://patient.info/forums/discuss/breakthrough-july-2021-covid-case-after-march-2021-vaccination-mild-symptoms-767227,2021-09-05T18:47+00:00,"
                                MoGuest
                            ","I was vaccinated with the Janssen (Johnson & Johnson) one shot in March 2021, and my wife received the two shot Pfizer vaccine in February and March 2021.  I am 50 years old; my wife 28.  Both of us no pre-existing health problems; we exercise regularly.


Early June 2021, I tested Covid negative.


Starting around July 10, 2021, I stopped wearing a mask in public, as everyone around me seemed to have stopped too.

Around July 15, 2021, I started feeling some symptoms I thought were related to a cold.  Mild cold sweats, inability to get to sleep easily at night, but no fatigue - I continued to go to the gym and exercise hard during this period.

July 17, 2021, I felt some cold sweats during the day, tiny bit of solid phlegm coughed up, very mild cough.

July 20, 2021, I tested Covid positive.


My wife has had similar mild symptoms, starting round July 20, 2021, although she has had no cough, no phlegm, but yes runny nose .  (I have not had a runny nose at all.)  She too has experienced no fatigue.  Must assume that I gave her the Covid, as she has been in contact with no one other than me during this period.  I am the only one who has been leaving the house during this period.  She hasn't yet actually tested positive, but assume that she has it.

We will both go for a follow up test next week.


My sense of smell and taste not affected.

Her sense of smell only affected, but she thinks it might just be due to nasal congestion.

No fever at any point - my temperature has been around 97.5 F which is normal for me; hers around 98.1 F which is normal for her.

We have isolated and are avoiding contact with anyone since July 18, 2021, other than when I went to take the test July 20th.

We both feel mild mild dizziness if we exert ourselves, similar to trying to exercise with a bacterial cold.


Trying to just rest, eat well, plenty of fluids.  Wet sauna / steam room at home to try to sweat the virus out."
141,Low Antibodies due to Prexisting Infection,https://patient.info/forums/discuss/low-antibodies-due-to-prexisting-infection-770237,2021-09-04T22:42+00:00,"
                                christopher3718
                            ","Hi Everyone, I have a problem that I hope I can get some confirmation on..... I have Had both Doses of the Pfiezer Vaccine, but because I have an Ongoing Infection in My Tear Sack and Duct I took a Test for the Level of Antibodies in My Blood. This came back as a Very Low amount, but My Doctor says that this has nothing to do with My Pre Existing Infection,even though My wife had the same Test and Her result was a Very High Antibody amount. Any Informed Opinions on this will  be Very Welcome.   Thanks Chris"
142,Covid positive with digestive system problems,https://patient.info/forums/discuss/covid-positive-with-digestive-system-problems-750183,2021-09-04T15:00+00:00,"
                                aali
                            ","Hi,
My symptoms started 5 days ago with runny nose, headache and fever. I went for the covid test and it came positive. My doctor prescribed a few medicines and these symptoms have gotten better now, though I still feel weakness, loss of taste, lack of hunger and occasional nausea. So, I am still using the medicine. The worrisome part is that I have developed constipation. My GI tract also seems weakened to force anything out. I have not defecated for five days now. So I am only using liquids and juices now. My doctor has prescribed me duphalac (lactulose) which I have taken for two days now, but still nothing. Anyone with the same problem and some advice?

Thanks."
143,How to cope with loss of taste and smell,https://patient.info/forums/discuss/how-to-cope-with-loss-of-taste-and-smell-769082,2021-08-31T11:37+00:00,"
                                p29127
                            ","Hi all, 

I am a  week into this virus, i lost taste and smell on day 2. My first Q is, if you also lost your smell and taste, when did they return? Secondly, i know this may sound strange but any advice on what to eat? i cant stomach much of anything I've tried- pasta, toast, chicken, rice, chilli, sandwiches etc...
Fruit and jelly seem to be the most palatable but they don't fill me up and i go to bed extremely hungry and just pray tomorrow is a better day but i'm starting to feel weak now and its making me feel really low. 
any advice is appreciated :)"
144,New symptoms after 2 weeks of  COVID ,https://patient.info/forums/discuss/new-symptoms-after-2-weeks-of-covid-769870,2021-08-30T20:33+00:00,"
                                evelyn28898
                            ","Hello everyone.  I tested positive for Covid on 8/10.  my symptoms were mild. slight fever, congestion, fatigue, headaches, foggy.  I isolated, but only really had to stay all day in bed maybe 2x. I had energy to shower, change etc.  After 2 weeks i started having heart palpatations.  i would breathe through it or walk. One day the palpatations came with my left arm feeling slightly numb. I freaked as i thought i could possibly be having a stroke. i took myself to urgent care. they took EKG, listened to my lungs and performed some tests. Everything seemed ok. thought maybe just anxiety. but a couple more times as im laying down, my heart will race with some pins n needles feelings on my left side and going to my cheek and chest.  its periodic not sure what to think.  i was a healthy 49 yr old with no underlying conditions.  Am i still recovering? or do i have a health issue as a result of Covid. ?"
145,Eye pain after covid,https://patient.info/forums/discuss/eye-pain-after-covid-769807,2021-08-29T19:17+00:00,"
                                Menalima
                            ",I've recovered from covid but I've developed a pain that's sort of behind my left eye and seems to radiate to the ear and back of head. It's worse when I'm using my mobile or PC...anyone else
146,Coronavirus headache ,https://patient.info/forums/discuss/coronavirus-headache-767334,2021-08-29T17:54+00:00,"
                                nicola69842
                            ","i had corona virus last week had no syptoms other than a headache which felt like a sinus headache had the headache since last monday 12th july. at first wasnt too bad but didnt go after taking ibrobufen or pracetmol. i started using nasal sprays different types. the headache got less painful. it was always like a pressure pain in my head behind my eyes and nose and temples. then i started getting this really weird burning sensation constatly in my nose which is there all day ntohing helps to take it away. 

im now on amoxicillan for a sinus infrction but not aure if it is a sinus infection, has anyone else had this weird burning sensation in nose behind eyes and feels like in the ears? the headache has come back from last jight and the burning as got less intense but nothing is taking the pain away? "
147,I have covid 19,https://patient.info/forums/discuss/i-have-covid-19-769482,2021-08-26T21:10+00:00,"
                                michele55996
                            ",Hello i have covid 19 i was wondering if anyone had vomit and diarrhea and hard time to breath. 
148,Does anybody have any COVID experiences with their kid?,https://patient.info/forums/discuss/does-anybody-have-any-covid-experiences-with-their-kid--769405,2021-08-23T22:38+00:00,"
                                alan98253
                            ","my 10-year old sister is currently very sick from Covid-19, this is her 6th day with a fever with a high 102.3 F. im getting very worried especially since we're doing everything we can to reduce her coughs (which is starting to make her cry in pain) and her fever. She also has belly ache as well. We've been giving her 6 different types if medicine for all her symptoms: but mostly cough medicine and fever medicine rotating every 2 hours. 4 hours for cough and 4 hours for fever. we might also give her other medicines as well like ibuprofen. Does anybody else have any experience with this? How did it go? Should I take her to the hospital? "
149,"Exactly one week of COVID positive , are there any signs I’m gonna get worse ?",https://patient.info/forums/discuss/exactly-one-week-of-covid-positive-are-there-any-signs-i-m-gonna-get-worse--768979,2021-08-20T21:17+00:00,"
                                saul34126
                            ",****
150,Covid testing,https://patient.info/forums/discuss/covid-testing-769130,2021-08-20T11:06+00:00,"
                                steven83880
                            ","Hi, I'm sure this has been discussed before, but I would imagine it is deep in other threads. In a few weeks we are travelling abroad, and the country we are travelling to requires proof of 2 vaccinations, and a negative PCR or lateral flow test. So when you do a lateral flow test you report your results to the government website, and then get a text. Firstly how does that prove you are negative as you could simply report a negative when in fact it is positive, and secondly does a text to say they have received your result, really provide enough evidence?"
151,When should I get next vaccine?,https://patient.info/forums/discuss/when-should-i-get-next-vaccine--769083,2021-08-19T17:08+00:00,"
                                Kristal98
                            ","I live in Ukraine. Unfortunately, Ukraine started vaccinated company too late. So I got my second shot one month ago. I got vaccinated as soon as it was possible when in Ukraine only CoronaVac was available. I was understanding CoronaVac is too weak vaccine, because it's only 50% of efficacy, but Ukraine didn't has any other. So I got it. Now I have opportunity to get Moderna vaccine. I understand Moderna is very powerful, 95% of efficacy, it's amazing. When should I get Moderna, right now or to wait?"
152,Loss of taste smell covid,https://patient.info/forums/discuss/loss-of-taste-smell-covid-751084,2021-08-19T16:36+00:00,"
                                nadia81897
                            ",please can you tell me how long this lasted for you? I need some hope! 
153,Is Lambda variant of Covid 19 resistant to vaccines?,https://patient.info/forums/discuss/is-lambda-variant-of-covid-19-resistant-to-vaccines--768387,2021-08-09T04:49+00:00,"
                                michael42110
                            ","I wish to travel to Peru, but Lambda variant is most common.  I've been vaccinated but I don't want to get Covid 19 foolishly."
154,anyone experience insomnia after first covid vaccine?,https://patient.info/forums/discuss/anyone-experience-insomnia-after-first-covid-vaccine--766391,2021-08-17T08:36+00:00,"
                                Eric9000
                            ","i encountered alot  of negative effects after my first covid dose but im not entirely sure if its due to the vaccine. i went through a few days of insomnia, clammy hands, anxiety attacks, constant burping bowel movements, fever, heart palpitations, etc. 
im curious to know if anyone went through anything similiar or had a unique experience from the first covid dose aswell."
155,vaccine booking again ,https://patient.info/forums/discuss/vaccine-booking-again-768917,2021-08-17T08:33+00:00,"
                                JIM_88
                            ","hi, 
i had a first dose of oxford vaccine in march, cancelled my 2nd dose as im 100 percent sure it caused me Erectile dysfunction. I used to have such a good sex life before the vaccine.
With travel and passports i think i may have to have 2 doses. 

My question is do i book via nhs again and will they give 2 doses again so in total i would have had 3 or will they just do one. 

Also at the time oxford was given to my age as a carer. now its Pfizer, so would they mix them"
156,Covid vaccine and steroids,https://patient.info/forums/discuss/covid-vaccine-and-steroids-768813,2021-08-15T22:02+00:00,"
                                Rosebjb
                            ","I received my second Covid vaccine on February 8th.  Two hours prior to that, I received a steroid injection in my elbow. My doctor says I should consider getting the booster since the steroid may have rendered the vaccine ineffective.  I can't find any definitive information on whether or not that is true.  I'm 68 with no co- morbidities, but autoimmune disease.  I don't want to take the booster shot if it is unnecessary. Any thoughts?"
157,Positive Lateral flows and negative pcr,https://patient.info/forums/discuss/positive-lateral-flows-and-negative-pcr-766831,2021-08-15T10:45+00:00,"
                                jessica11000
                            ","I started showing symptoms of corona virus friday last week, i felt at my worst on sunday so monday morning I took a lateral flow test (yes i know they're not supposed to be used in people with symptoms). This test came back positive so i booked a PCR test for tuesday, the results came back negative on wednesday morning so i tested the lateral flow again and again it was positive, twice. 

I rang track and trace and they told me to isolate for 10 days from the first positive test, I then ordered another home PCR test and sent that away on thursday and got my results today and again negative, but i've had 6 positive lateral flow tests and they're all from different boxes because i had suspicions that maybe it was a dodgy box or something. 

I've spoke to my doctor and they have said i 100% have corona virus as i have all the symptoms, but i can't stop thinking how if the gold standard PCR test were negative?

Any advice please?"
158,Post COVID travel  - day 2 PCR,https://patient.info/forums/discuss/post-covid-travel-day-2-pcr-768789,2021-08-15T08:23+00:00,"
                                minnie10663
                            ","Hello, I need to travel for personal family reasons and have now recovered from COVID. 

My concern is that to get to the country I need to go to an Antigen test is fine but upon returning to the UK I need to do  a PCR test on day 2.  Has anyone done this within a few weeks of recovery and got a negative PCR result? 

"
159,Persistent phlegm and cold after 65 days of recovery ,https://patient.info/forums/discuss/persistent-phlegm-and-cold-after-65-days-of-recovery-762115,2021-08-15T00:28+00:00,"
                                rahul34908
                            ","I had recovered from Covid in 1st week of March 2021 after 1 week of hospitlaization. my covid was moderate with moderate impact on lungs.The standard after effects such as  exhaustion, lack of sleep and unlimited hunger, heart palpitations have gone away mostly however i have this persistant cold and phlegm which i am unable to get rid of. the runny nose is not continuous but it appears 3-4 times daily. the cough to clear my throat is very irritating and i am worried if this cold must persist after 65 days of recovery. Please suggest. "
160,Exposed to covid have symptoms but negative pcr test,https://patient.info/forums/discuss/exposed-to-covid-have-symptoms-but-negative-pcr-test-764266,2021-08-15T00:20+00:00,"
                                gord51151
                            ","I was in close contact with someone the day before they developed symptoms, several days later had a positive lateral flow then PCR. I was instructed by track and trace to self isolate. 5 days after I developed symptoms  took at PCR test the following day (day 6 since exposure) and came back negative. Have exactly the same symptoms as the person who tested positive but only milder, other people who had contact with them have also developed symptoms and tested positive. Still have symptoms now (day 8 since exposure). Any one else experienced this? (Have ordered another PCR for tomorrow)"
