,Titles,Links,Author,Content
116,Covid Positive: Any tips to get thru this healthy and quicker?,https://connect.mayoclinic.org/discussion/covid-positive/,dh524 @dh524,"Hi after 3 years of isolation and only curbside pickup delivery my husband got Covid and then I did two days later. We have not seen any people so he got this either from curbside, deliveries or on his walk which is behind our house far away at least a football field from anyone. So now here we are has that happened to anyone else? I am also wondering if anyone has tips for symptoms and to get thru this healthy and quicker? We have started paxlovid and both have had the bivalent booster. Thank you so much! "
117,Any longhaulers noticing vision changes?,https://connect.mayoclinic.org/discussion/vision-changes/,holly1972 @holly197205,"Has anyone noticed vision changes who are long haulers ? I have astigmatism and have worn contacts for probably 25 years,however I was just beginnig to need a weak OTC reading lense to read, I was 48 at the time I had covid. In OTC readers I wore a +1.50 my eye doctor had told me not to buy anything stronger than a +1.75 until I seen him again the following year. About 6 months after having covid in a period of about 2 months my reading vision began rapidly deteriorating. I had to buy a +2.75 ! I went to my eye doctor and began explaining to him what happened & the first thing he asked me was if I'd had covid & if I was sick longer than a couple of weeks (I will sick for 4 months). He said it had happened with other patients. He dialated my eyes & checked them out & said he couldn't see any damage to my eyes. However, now it seems as if my fat away vision isn't exactly as it should be. It's only been 4 months since I went to the eye doctor but I'm thinking I may have to go back before April of 2023 for my next visit.
Has anyone else had this happen to them & if so what were you told by your doctor? This is just one of the slew of problems I have from covid. Any information would be greatly appreciated! Thank you in advance and God bless us all and may we all get thru this together. "
118,Post Covid Symptoms and what has helped me. ,https://connect.mayoclinic.org/discussion/symptoms-7/,lle04 @lle04,"I have fibromyalgia and post thyroid cancer in 2000. Got Covid May 2022. Have all of the symptoms long haulers experience. Dizziness, hair loss, canker sores in mouth, brain fog, trouble focusing, fatigue, muscle aces and pain, muscle weakness, etc, etc. Have had eye exam with a small spot behind my retina that was not there on exam before Covid. Working with PT doing the same exercises others have explained. Seems that Covid has increased my fibromyalgia symptoms. Working with my primary doctor with treatment. I have started low dose naltraxone and this helps with brain fog, decreasing the pain and helps with sleep. Along with the PT I hope this is going to help in the long haul. I also take an antihistamine for my ears and head stuffiness, thyroid replacement, celexa for anxiety and calcium with vitamin D. Hoping to be on the mend soon. Hope this may help anyone else dealing with this too"
119,Never say Never: Covid and intensely itchy nose,https://connect.mayoclinic.org/discussion/never-say-never/,megangreen @megangreen,Three days ago I was diagnosed with Covid-19. Not a big deal in itself.
120,Moderation and Modification: How can it help your chronic pain?,https://connect.mayoclinic.org/discussion/moderation-and-modification-how-can-you-benefit/,"Rachel, Volunteer Mentor @rwinney","Moderation involves how much, how long, or how fast you do things to avoid overdoing or underdoing activities during your day."
121,Paxlovid: How did you deal with the awful side effects? ,https://connect.mayoclinic.org/discussion/paxlovid-1/,jeb1947 @jeb1947,"Anyone who has taken Paxlovid have dealt with the awful side effects?  My issues are diarrhea, horrible chemical taste in my dry mouth.  "
122,Tinnitus and severe vertigo ,https://connect.mayoclinic.org/discussion/tinnitus-and-severe-vertigo/,jandroid @jandroid,The tinnitus is making me crazy. The vertigo started last night. Has anyone experienced worsening migraines since COVID? I had mine under control by avoiding cheese and processed foods. I was positive for COVID the day after Thanksgiving. The one time I went without a mask in an Uber I got COVID. 
123,"CAUGHT COVID TWICE IN 90 DAYS, THIS VARIANT IS WORSE THAN OMNICRON",https://connect.mayoclinic.org/discussion/caught-covid-twice-in-90-days-this-variant-is-worse-than-omnicron/,karel @karel,"THE NEW VARIANT Q1 OR SOMETHING LIKE THAT IS TERRIBLE. IT AFFECTS THE SINUSES SO BAD. I HAVE CAUGHT COVID TWICE WITHIN 90 DAYS.  LOST HAIR, GAINED TEN POUNDS, HUNGRY, BUT CANT SMELL OR TASTE WHAT IM EATING. ALL INFLAMMATORY BLOOD MARKERS ARE HIGH INCLUDING A WHITE COUNT OVER 15,000, AND ITS BEEN 3 WEEKS, SINCE I GOT THE SECOND BOUT. I HAD A BAD REACTION TO THE FIRST PFIZER SHOT AND HAVE MANY MORBIDITIES, MAYBE THATS WHY I CAUGHT IT TWICE. I WEAR 2 MASKS, AND HARDLY GO OUT.  THIS IS JUST TERRIBLE. PEOPLE PLEASE WEAR MASKS, AND IF YOU HAVE SYMPTOMS DONT GO NEAR PEOPLE HACKING ALL OVER THE PLACE. THIS QUARANTINE FOR 5 DAYS SHOULD BE CHANGED UNTIL YOU HAVE NO MORE COUGH.  ANYONE CAUGHT THIS TWICE IN 90 DAYS OR LESS.GOD HELP US ALL. THIS IS NEVER GOING TO END, "
124,message from my dr about my long term covid so sad now,https://connect.mayoclinic.org/discussion/message-from-my-dr-about-my-long-term-covid-so-sad-now/,ttammysc @ttammysc,"I have so many symptoms from long term covid. i sent them all to my dr. he said there is no test to determine it and some people have symptoms longer than others. Except mine are everywhere. I saw somewhere on here that a member had a test done to determine if he/she had it. somewhere in texas. i would love to know the name of that doctor office so i can give them a call and talk to them. my insurance would cover it. he gave me no hope with my symptoms as well as how to deal with the CF that I have with it. All he could say was he was sorry.  it upsets me so much that i live with constant nausea, and loose stools, can 't eat normal food without major issue; i  can't take pro-biotics because of my intense allergy to live cultures.  my throat hurts and my chest hurts and my CFS is worse now with covid pain. all my dr could say was that he was sorry. and, im the one miserable."
125,Returning to work as an RN with long Covid ,https://connect.mayoclinic.org/discussion/returning-to-work-as-an-rn-with-long-covid/,aroselu @aroselu,"Hello all. I am experiencing long Covid symptoms. Mainly it’s palpitations, insomnia, and very little activity tolerance. I’m able to do things around the house but as far as exercise I overdo it easily and get chills and flushed and fatigue. I’m wondering if there are any floor nurses that have returned to work with these symptoms? I’m afraid I’m not able to perform at full capacity returning as a bedside nurse for three 12 hour shifts. Wondering if anyone else has experience with this and how they navigated it. "
126,newly diagnosed complex migraine with aura post-covid,https://connect.mayoclinic.org/discussion/newly-diagnosed-complex-migraine-with-aura-post-covid/,shan77 @shan77,"Hello – I had an exhaustive workup at Mayo last July after experiencing an episode that seemed like a TIA (transient ischemic attack).  The neurologist finally diagnosed complex migraine with aura.  I am 66 years old and had one more typical migraine when I was 20, and nothing since then.  Since that first episode, I have had four more, and each has varied slightly in nature but all have been quite disturbing in that I often have a period where I slur my words, and then the actual migraine is followed by 2-7 days of brain fog that is distressing.  My Mayo neurologist did not suggest any medication, but I did connect with a local neurologist who suggested I try Nurtec, which is taken at the first symptom and can work for my type of migraine.  Medicare does not pay for it.  I broke down and bought an 8-pack, at $100/pill, and keep one with me always.  Since getting the med, I did have one migraine but it was the middle of the night and I was so out of it that I didn't think to take the pill until I was well into the episode.   The pulmonologist did determine that I had had covid, due to signs he saw on my lung CT.  I have come to the conclusion that my sudden onset of migraine is connected to the covid.  Anyone else out there with a similar story?"
127,Is the amyloid microclot test available in US?,https://connect.mayoclinic.org/discussion/amyloid-microclot-test-s-african-treatment-available-in-us/,ebergfeld @ebergfeld,"Referencing this paper: https://www.researchsquare.com/article/rs-1205453/v1
I am writing to ask if anyone knows what medical facilities (Mayo?) are doing the amyloid microclot test? and are any willing to try the treatment that is provided in the referenced paper? The work was done in S Africa."
128,Flu shots are available ,https://connect.mayoclinic.org/discussion/flu-shots-are-available/,ihatediabetes @ihatediabetes,"Hi everyone, i got a flu shot today at Walgreens. I never had a flu shot in August, but I saw the sign and went in. There's no charge with insurance and no copay at Walgreens for a flu shot."
129,COVID protection and treating anemia,https://connect.mayoclinic.org/discussion/anemia-iron-and-covid-vaccine/,question5 @question5,Is it possible will receive less protection and lower immune response from the covid vaccine if get it before iron levels have normalised for anemia 
130,Long haul covid: reactive arthritis and possibly GBS,https://connect.mayoclinic.org/discussion/long-haul-covid/,jcg @jcg,"I had covid for the second time back in August of 2021.  7 days post covid and I was fine. Dealing with fatigue and headaches.  On day 7 I had severe pain in both hips. Day 8 it had moved to my knees. By day 10 I couldn't sit, stand or lay down without excruciating pain. I go back to the dr only to find I have post covid reactive arthritis. I start treatment and after about 6 days the pain was considerably better. On day 7 I start having numbness in my feet moving rapidly up my legs. It's wasn't completely numb. It was like the feeling on your hand being asleep without the pins and needles feeling.Within 2 days I had lost control of my legs. It was like my brain and my legs weren't working together. I had numerous test ran and my nerve function between my spine and legs was fine, but my nerve function between my brain and spine was affected.  During this time the brain fog set in and the dr told me I was being treated for Guillain-Barré syndrome. For the next 8 & 1/2 weeks I was in the dr office 3 times a week for blood work, shots and different test. After all this time I still have lingering effects. The symptoms are rare and mild but I have not reached 100% . Has anyone else had any experience like this?"
131,"Forgotten symptoms: Cankers, chipped tooth, eye floaters, scalp sores ",https://connect.mayoclinic.org/discussion/forgotten-symptoms/,efueman @efueman,"I’m doing the LISTEN study and it asked me about some things I totally forgot about.
Canker sores in my mouth, chipped tooth, eye floaters, sores on my scalp, tinnitus.  "
132,Post-COVID Syndrome - What helps reduce palpitations?,https://connect.mayoclinic.org/discussion/post-covid-syndrome-palpitations/,tross25 @tross25,"For those of you that have had palpitations, what treatments have worked best to reduce them?  "
133,COVID19 Pneumonia,https://connect.mayoclinic.org/discussion/covid19-pneumonia/,kobe @kobe,"My mum is unfortunately in critical condition due to pneumonia. She is currently on highflow oxygen (50L/min), difficult breathing while awake on prone position (RESP around 40-60 per minutes),  Heart beat 100, SpO2 85-90, Blood pressure 150/78.
While sleeping the vital sign looks better: RESP 25-30 per minutes, Heart beat 90, SpO2 98-99, Blood pressure 128/69
When she turnaround the SpO2 can drop to 30 for 15-20 seconds.
Doctor gave her antibacterial infusion and Albumin infusion and Olumiant oral tables.
My mum also suffers anxiety and always worried about diseases before COVID.
Does anyone have any innovated treatment idea or advice?  Thanks a lot."
134,Seizures/Inconclusive test,https://connect.mayoclinic.org/discussion/seizuresinconclusive-t4st/,ryansmartin13 @ryansmartin13,"I had a break through tonic clonic and since then have had 3 more and multiple myoclonics. I have also experienced new neurological symptoms that I never had: memory recall, headaches, tremors, tingling, prickling. My wife had a positive COVID test in Dec 2020. There is no doubt I had COVID at the same time, but my test was inconclusive. As a result, no Post Covid clinic will accept me. I have had MRIs, EEGs, EKGs, all of which were normal. I know something is wrong, but have no proof. Is there a way I could definitively be diagnosed Post COVID? "
135,Post Covid with Recurrent Infections Seeking Monoclonal Treatment,https://connect.mayoclinic.org/discussion/post-covid-with-recurrent-infections-seeking-monoclonal-treatment/,roses3 @roses3,"Greetings All,"
136,Vertigo or something else??,https://connect.mayoclinic.org/discussion/vertigo-or-something-else/,kennedyakelly @kennedyakelly,"So I had Covid in May this year and I had become extremely congested to the point I could barely hear and I also developed a really bad sinus inflammation post Covid but took antibiotics for that. A few days into having Covid I woke up in the middle of the night to a really weird swaying back and forth feeling in my head. I freaked out and say up quickly and once I opened my eyes and sat up it went away. I kinda ignored it and thought it could have been from NyQuil. That same feeling has happened post Covid every now and then. I think it could be vertigo but here is the weird part. It only happens at night when I’m waking up but it had happened on one occasion during the day when I laid down (I was having anxiety  during this episode). The feeling is sometimes stronger on some days than others but it’s always the swaying back and forth feeling. I’ve also noticed that I never feel dizzy it’s literally just a swaying feeling in my head and when I sit up/open my eyes the feeling goes away. I do feel kinda like my body is moving when I sit still like laying in bed, sitting in my car, etc. It also doesn’t happen every night, it’s very random and can last 3 nights in a row and then goes away for a week or two. When it comes there is also some nights when I sit up and it goes away but when I lay back down and close my eyes it comes back and nothing helps I just have to wait it out and keep sitting up. This makes me feel like it’s not Vertigo or BPPV because no maneuver I do makes it go away but I also don’t know a ton about vertigo. I went to a neurologist and he did an MRI and it came back normal and he tried to do an EEG but I literally freaked out and had to stop because I began having the swaying feeling during and it gave me a panic attack. I’ve been to about 7 Doctors and nobody has helped at all. They all say they don’t know what’s going on. This has caused me many sleepless nights and anxiety about going to sleep. I’m a 23 year old female student so this lack of sleep has really made my mental health become horrible. I’ve also been to an ENT recently and he also didn’t know what was going on. He said it didn’t match BPPV and gave me an exercise to try during an attack which also didn’t help at all. He also did a hearing and pressure test and said it looked good. Really need help I’m going on day 3 with barely any sleep and my anxiety is through the roof. I’ve tried like 4 different meds and nothing helps.   "
137,"The ""yips""",https://connect.mayoclinic.org/discussion/the-yips/,marcslifer @marcslifer,"I had an acute infection in June, and have had long covid symptoms since then. I've had brain fog, hand tremors, and unfocused anxiety for a while. More recently, I've been experiencing (what I call) the ""yips"". My nervous system seems to build up ""pressure"" which I can only release by saying ""no"" or ""f***k me"" every few minutes. I'm wondering if anyone else is experiencing these symptoms. "
138,Relapse of symptoms: How long can this go on?,https://connect.mayoclinic.org/discussion/relapse/,shawnasierra @shawnasierra,"I searched but came out with lots of comments but can’t find what I’m looking for.
I had Covid in may, September and again in October ( negative in between).  I feel horrible for a few days to a week then get better. It’s been a constant cycle. Seems it just keeps relapsing. Any idea how long this can go on? Usually I get reflux which leads to cough. Pre and probiotics help some but it’s almost like clockwork. Search yields little though it seems people do have relapsing symptoms. "
139,Daily self assessment for brain fog?,https://connect.mayoclinic.org/discussion/daily-self-assessment-for-brain-fog/,buzzbuzz @buzzbuzz,"Is there a online test (e.g., for speed of response) that I could take to assess degree of brain fog? Ir anything that I could use to quantify at home this symptoms to share with medical providers to assist with treatment?"
140,"Anyone else read a post, think it’s a good one, see you wrote it?",https://connect.mayoclinic.org/discussion/anyone-else-read-a-post-think-its-a-good-one-see-you-wrote-it/,ericy210 @ericy210,"So many times I read a post and think it makes sense, then see I wrote the post earlier in the day or during the last few days?  It’s very unnerving but I try to laugh at it. "
141,Anyone on paxlovid for long Covid clinical trial?,https://connect.mayoclinic.org/discussion/anyone-on-paxlovid-for-long-covid-clinical-trial/,ericy210 @ericy210,"I’m the the NIH clinical program and it looks like a bunch of us will be paxlovid or placebos next month.
https://clinicaltrials.gov/ct2/show/NCT05595369
Not sure how I feel about a medicine developed so quickly.  From Pfizer insiders, they say a new straightforward drug with the fda can take at least five years.  "
142,Severe constipation after covid: What helps?,https://connect.mayoclinic.org/discussion/severe-constipation-after-covid/,sapna @sapna,"I have been suffering from severe constipation since 6 months after i had covid. Did tried laxatives bit it only gives temporary relief. Did CT scan, colonoscopy , had pancreatic juices supplements but no luck. Has anyone experienced the same ? Any kind of help is welcome."
143,Help! Anyone with Post COVID get infected again?,https://connect.mayoclinic.org/discussion/help-long-covid-round-2/,kellyhart @kellyhart,"Hello!  Newbie here. Here’s a little backstory:
COVID April 2020
Moderna vaccine Jan-March 2021
COVID May 17, 2022"
144,Post Covid internal vibrations & hair loss ,https://connect.mayoclinic.org/discussion/post-covid-internal-vibrations-hair-loss/,karendn @karendn,"Hi, I’m a 61 yo woman who spent 16 days in ICU with bilateral. Pneumonia, acute kidney failure, acute respiratory failure & acute hypokalemia in Nov-Dec of 2021. To back up, I have had “Battles” with severe sepsis & septic shock off & on for the past 22 months & the etiology is still unknown! So after my last hospitalization in May, I noticed my hair was no longer falling out by the buckets after Covid; it was literally GONE within 5 days! I have been to every medical discipline known to man. They don’t know why I continue to get septic; but agree my hair loss is 100% due to long Covid. I guess I just assumed it was from the stress to my body from all 13 sepsis hospitalizations. About 8-10 weeks post Covid I had mild internal vibrations! Just brushed it off. Then they became more frequent, harder & lasting up to 2-3 hours. At first, I accused my friend of having a couch that vibrates. She looked at me like I’d lost my marbles & said “there is nothing vibrating”. Of course I insisted she come sit where I was & feel for herself… nothing. I said “well feel my arm”… she said “I don’t feel anything”. Then I stood up & said “Oh Sh…, the floor is vibrating really hard!” And again “NOPE”. I’ve been to a couple Dr.’s who have no idea why this is happening. I have an appointment with a Neurologist in Dec. & hopeful for some answers!  I’m so darn grateful I came across this website!! I’m shocked AND relieved that so many others suffer these vibrations. Mine happen more frequently when I lay down to sleep; but happen in addition to that at least 2-3 times during the day. When they are severe, I can’t walk around or drive. Mine are throughout my entire body. My feet & head are the worst. I feel my entire body jumping ; it amazes me that no one can see or feel them. My brain & teeth even feel like they are “trembling” ! Since I’ve gotten no answers, I’ve learned to just embrace it until someone comes up with a definitive DX &/or TX!! Now I just go lay in my bed & turn on my bed vibrator as high as it will go for as long as it takes! When my bed is vibrating, it makes my internal vibrations feel less apparent! I don’t venture out too far anymore because I’m a bit paranoid it will happen in public where there may not be a chair! I definitely lost my career probably indefinitely due to my health, which before sepsis was great! I have memory issues also; so working in a hospital caring for patients isn’t in the cards! In this journey of mine; I’ve had to rely on my new “motto” … “PAIN shapes a woman into a WARRIOR!”  And for the gal that I ran across also with hair loss issues; I share this with you: “You don’t need hair to wear your crown honey!” Peace & Love 💕 God Bless y’all, “May you find comfort from your afflictions through Jesus Christ our Lord & Savior”!! Stay faithful 🙏🏼🫶🏼♥️🙌🏼"
145,"Long haul Covid: exhaustion, confusion and enhanced ADHD",https://connect.mayoclinic.org/discussion/long-haul-covid-1/,josecito @josecito,"I had Covid at the end of 2020 and early 2021. Thought everything was okay except that I began to feel exhausted almost all day, experiencing a lot of confusion, and enhanced ADHD. I went to a clinic and was diagnosed with the symptoms. I moved to Minnesota and was not able to continue treatment. Is someone here having this kind of symptoms? What have you done about it? People don’t believe this is real."
146,Anyone tested for Epstein-Barr virus (EBV)?,https://connect.mayoclinic.org/discussion/anyone-tested-for-epstein-barr-virus-ebv/,ericy210 @ericy210,"Another site had long Covid people saying they were getting tested and some had positive results for having Epstein Barr, which I read is latent in 90% of humans and can cause my symptoms of brain fog and fatigue. "
147,"Post COVID neurological pain that I call ""spiciness""",https://connect.mayoclinic.org/discussion/post-covid-spiciness/,heather101 @heather101,"Hi all. Im a 31 year old female with no medical issues and play rugby professionally. I got COVID in June 2022. Took me 2 weeks to 'recover' but had months of brain fog, extreme fatigue, heart issues (palpitations and even a trip to A&E for heart attack related symptoms). I have had hyperbaric chamber therapy for a couple of months and used a micro current device. My brain fog and fatigue cleared up with treatment but this neurological pain or 'spiciness' as I call it always comes on after anything remotely active. It's in my ENT and around my head, and normally requires a decent chunk of sleep. I also get it after massage. "
148,Digestion and eating post covid,https://connect.mayoclinic.org/discussion/digestion-and-eating-post-covid/,ttammysc @ttammysc,anyone experiencing digestion or eating issues
149,Long Term Effects of COVID Vaccinations,https://connect.mayoclinic.org/discussion/long-term-effects-of-covid-vaccinations/,rgevans14 @rgevans14,"Data on the long-term effects of COVID vaccines do not exist, so how can we be sure that COVID vaccines do not have negative long-term effects?   Family members are concerned about sterilization and birth defects."
150,Any tips to help recovery for a COVID Long-Hauler?,https://connect.mayoclinic.org/discussion/long-hauler/,Cilla21 @cilla21,"I was diagnosed with COVID-19 at the end of Feb 2021. Nearly three months later, neither my taste nor smell has been fully restored. My husband also tested positive and was completely out of it for one full week. He could not even get out of bed. My case seemed to be mild. Though I felt ill, I was not bed-ridden nor did I feel debilitated. Most of my activities (household and work) were not halted. My husband has zero lingering effects from his infection, meanwhile I am still experiencing chills, headaches, fatigue, and body aches on and off weekly. Additionally, I'm undergoing testing for heart valve issues. It's becoming increasingly difficult to tolerate these lasting symptoms with no end in sight. Any suggestions/tips to aid in a faster recovery would be welcomed and very much appreciated. "
151,long term covid and cfs,https://connect.mayoclinic.org/discussion/long-term-covid-and-cfs/,ttammysc @ttammysc,"i had chronic fatigue before i was diagnosed with covid. but, now having both some days i can't walk very well. it feels like my leg joints are like metal, it is hard to explain. the pain is much sharper after having covid. what treatments are out there"
152,Long Covid come and go or ongoing,https://connect.mayoclinic.org/discussion/long-covid-come-and-go-or-ongoing/,jslgolf13 @jslgolf13,"I believe my long Covid began about 2 months ago with what I thought was a stomach virus. It lasted about 3-4 days then started feeling better. A few weeks later same thing, and a few weeks later (currently), I’m on day 4 of same (exhausted, body aches, tinnitus, nausea and hunger). In between episodes have dizziness and weight loss). "
153, Joint inflammation and muscle pain after COVID,https://connect.mayoclinic.org/discussion/joint-inflammation-and-adults-possibly-from-covid/,chrism @chrism,"Good morning, my name is Chris. Over the past two months I have experienced moderate joint pain to no excessive pain in my large joints. My primary care physician had ordered a rheumatology panel. I had two areas were inflammation is really over the top high. Why at this time, is unexplained. I have never in my life experienced any joint problems at all! I am 57 years old. I live in central Washington and at this time I am trying to get into Seattle, To see a rheumatologist, which is what my doctor is attempting to do at this time. Mid January my family and I traveled from SeaTac in Seattle Washington to Dallas Fort Worth and back again two weeks later. My son while we were gone, in his 30s, Got very sick with a chest cold and continued to have it when we got home. When I got home I got sick with what I would call A cold. But my cough held on for at least four maybe five weeks. Both of us seem to have no symptoms at all now. Nor do we know whether or not we may have had it? I’m not trying to connect any dots. I’m grasping at straws‘s! I’m on my second round of steroids to calm my joints, and I am scared to death when I am finished with the prescription. Two days after my first round of steroids I could hardly lift One arm and both legs. I’ve got two days left of the second  prescription and I have to admit major fear is starting to set in! Has anyone heard of anything scientific, scientific that may link joint inflammation with adults because of Covid?"
154,hyperbaric oxygen therapy and long covid,https://connect.mayoclinic.org/discussion/hyperbaric-oxygen-therapy-and-long-covid/,Lucy @welchllb,"I just heard about a woman in N. Carolina who is undergoing hyperbaric oxygen therapy for long covid. Apparently, she is doing better.  Has anyone heard about this option?  Is Mayo involved in treating Long Covid with this therapy?"
155,Why we should remain hopeful- science is fighting for us!,https://connect.mayoclinic.org/discussion/why-we-should-remain-hopeful-science-is-fighting-for-us/,ericy210 @ericy210,"Hi all,
It’s my first Christmas with long Covid- brain fog and fatigue.  I keep hope because of the progress science is making.  See a couple of links below.  We are not alone.  An army of scientists and researchers and doctors and manufacturers are in the battle with us."
156,Short Term Disability,https://connect.mayoclinic.org/discussion/short-term-disability/,macastronomer @macastronomer,"I have been on short term disability for long covid, and this has only been for half a day a week, but I am allowed to only take that time when I need it. It has been 12 months and my supervisor wants me to end this and I have a meeting scheduled to meet with people tomorrow. I haven't used much of my STD, so it is not an issue of running out. I would like to know what other people's situation has been with STD and if I have been unreasonable with my usage of it. I appreciate your feedback."
157,How to obtain a diagnosis of Long Covid?  Is it possible?  ,https://connect.mayoclinic.org/discussion/how-to-obtain-a-diagnosis-of-long-covid-is-it-possible/,babsg1 @babsg1,"I had Covid 19 and was hospitalized in October 2021.  Before that I had 2 initial vaccines; was active at the YMCA and exercised 5 days a week plus walked my dogs.  Now I am so fatigued, muscle aches, brain fog, no motivation to do any of the activities I did before I was hospitalized.  Every time I ask my GP if it could be Long Covid I am told it is my age or the medicines I take or any other answers other than Long Covid.  Is there a diagnosis for Long Covid?  I realize there aren't any specific treatments yet just having a diagnosis would help me feel like I am not going out of my mind.  I have a daughter who is insistent that no diagnosis exists and if I did get a Long Covid Diagnosis what good would it do?"
158,Multiple Autoimmune Diseases & Post Covid,https://connect.mayoclinic.org/discussion/multiple-autoimmune-diseases-post-covid/,mamafluh @mamafluh,"Has anyone else been having pain levels of 8-12 not normal.  Things in pain, cognitive, insomnia, nerve issues, etc since having Covid?"
159,Charlie Horses and Cramping: What helps?,https://connect.mayoclinic.org/discussion/charlie-horses-cramping/,sickteacher @sickteacher,"Hello! I have been experiencing tremendously painful Charlie Horses / cramps in my feet, legs and even abdomen if I bend over. I don’t even know what doctor to go to for this issue, as I have seen so many specialists for other long Covid and have just heard the typical “drink more water and eat bananas type advice.” I just woke up screaming with one in my calf and woke up my entire family. Any advice of what type of doctor to go to or how else to help would be greatly appreciated! "
160,"Long covid NMN cocktail, what dose?",https://connect.mayoclinic.org/discussion/long-covid-nmn-cocktail-what-dose/,greg1234 @greg1234,"Greetings, has anyone tried the long covid NMN cocktail? I saw it on an NIH posting, it is based on  nicotinamide mononucleotide, The interest is that as a precursor to NAD+ it can help modulate the immune system response, which might help reduce long covid symptoms.. I have been trying a low dose version for two months, it might have helped a little. If you have tried this, how much NMN/day are you taking? Thanks! Greg"
161,Feel like you have the flu?,https://connect.mayoclinic.org/discussion/feel-like-you-gave-the-flu/,RR @rachelr,"I have been 3 months since COVID diagnosis. Just about every other day, I have flu like symptoms & neuropathy in my left jaw? Is anyone else experiencing this?
Rachel R. "
162,This one's for the ladies... symptoms swing with hormones?,https://connect.mayoclinic.org/discussion/this-ones-for-the-ladies-symptoms-swing-with-hormones/,amandagoodhart @amandagoodhart,I've noticed that many of my symptoms exactly line up with fluctuations in my menstrual cycle. Especially the POTS ones and brainfog. Anyone else? 
163,Has anyone had any recovery from months of long Covid brain fog?,https://connect.mayoclinic.org/discussion/has-anyone-had-any-recovery-from-months-of-long-covid-brain-fog/,ericy210 @ericy210,"Brain fog and fatigue.  7 months for me.  New studies don’t give me much confidence in recovering or improving.  If anything, I’m in a bad relapse and my brain and cognitive skills are garbage.  New tests at UIC scheduled in a couple week.  Mini cognitive, acth hormone, psych eval, and a test for small fiber neuropathy.   It all feels like a pointless waste of time.  Has anyone made any recovery in cognitive ability?"
164,When is it recommended to get bivalent booster if I have Long Covid?,https://connect.mayoclinic.org/discussion/when-is-it-recommended-to-get-the-bivalent-booster-if-i-havelong-covid/,moebecwest @moebecwest,I tested positive for Covid on 9/15/22 and have had Long Covid since being diagnosed on 10/11/22. My last booster was on 12/10/21. I'd like to get the bivalent booster but wanted to know if it is prudent while I still have symptoms of Long Covid.
165,Nose twitching ,https://connect.mayoclinic.org/discussion/nose-twitching/,sonia2659 @sonia2659,"I had covid in August 2021. I had long covid symptoms.  After few months my left side of my face close to left nostril stared twitching alot. It's still going on. Nothing works. I m saying massages,  muscle relaxer, antibiotics. My doc did the the ct scan it came back normal.
Is nose twitching is normal?"
166,Brain fog - ask your doctor about amantadine,https://connect.mayoclinic.org/discussion/brain-fog-ask-your-doctor-about-amantadine/,ericy210 @ericy210,"4 months into long Covid and in clinical studies at University of Illinois Chicago and Northwestern U.  Dozens of memory gaps throughout the day, like blackouts.  I’d take a guitar lesson and be shown a riff.  I’d have to write down each note and play it while reading. I couldn’t remember a handful of notes and I’ve been playing 20 years.
A  Northwestern neurologist suggested we try amantadine.  You can look it up.  One thing it helps with is older people with cognitive issues.  I’m 45 and healthy.  After two weeks, I’m a new guy, and I had lost all hope.  A had a lesson a couple days ago. He’d show me a riff and I’d play it right back and we would move on to the next part.  I’m doing my job far better.  I can remember my whole day.  I recovered physically after three months but had been stuck on this memory issue until now.
I’m not a doctor, just a regular guy on this long journey.  Just suggesting you ask your doctor.  Best to all.  "
167,Finally going to see primary doctor (Long Covid),https://connect.mayoclinic.org/discussion/finally-going-to-see-primary-doctor-long-covid/,da69 @da69,"Finished TMS treatment for depression and only help i have noticed is my sleep.
Long story short i have always had depression and zoloft worked for 20+ yrs until i got covid in January and may have had it before and not known it.
My symptoms were just sneezing and runny nose.
I now have been suffering with anxiety which i have never had in my life along with terrible fatigue…I am always tired and if i do anything physical i breathe heavy.
My Meds doc at the TMS and mental health center wants me to see primary care doctor to rule out other issues.
He has switched me from viibryd to 200 mg of luvox at bed time for ocd ( ruminating thoughts)…I still take Klonopin 0.5mg at night and as needed otherwise for anxiety.
My anxiety can come up at anytime for no reason and no triggers.
He thinks i may have long covid and says he sees a couple long covid patients.
My question is…How do i approach my primary care doctor besides telling him the obvious?
If all my bloodwork and tests come back fine…Then what?
Who actually can diagnose you with long covid and how is it treated?
This cronic fatigue and anxiety has made life miserable and i am a shell of my once self.
I can function but only just enough to barely get by every day.
It is beating me down more every day.
Thanks"
168,Post COVID skin conditions: What can I do to control the reactions?,https://connect.mayoclinic.org/discussion/post-covid-skin-conditions/,mromeo762 @mromeo762,Living on steroids and Benadryl 2 weeks post covid because I keep having allergic reactions and rashes show up randomly. How long will this last? What can I do to help control the reactions? Getting really discouraged. 
169,Anyone have skin blisters or peeling hands from COVID?,https://connect.mayoclinic.org/discussion/covid-skin-condition/,1953 @hopeful1953,Has anyone developed very small skin blisters or peeling palms from COVID?
