,Questions
66,"
I think during this pandemic my cravings have grown to increasingly unbearably painful to manage because I’m stuck in my house trapped in my own thoughts. Thinking about past traumas have been all that’s flowing through my mind and since getting clean I’ve been finding it harder to cope with the fact that im kind of losing my sense reality because I want to find a way out of feeling the way I do. But since losing my counsellor it’s been difficult reaching out to a someone new because of my abandonment issues and the feeling of being scared that if I talk to someone new that they’ll just leave me too. That thought stems from being in the foster system for my whole youth and losing a lot of people in my life whether it’s through death like my biological parents or losing a friend because they’ve grown tired of hearing the same thing from me with having constant problems and now having no one I’ve just felt alone. 
"
67,"
Hi Zeriah,
You’ve mentioned a few things that seem like they would be best
discussed with a therapist/counsellor who can support you in unpacking the
thoughts and feeling you are having. I agree, it can be difficult to lose connection
with someone who was helping you process this, like you mentioned.  
Unfortunately, we cannot provide any counselling on this
discussion board. However, I would like to share this webpage with a list of
crisis and distress resources around the GTA. If you are from this area, please reach out to the resource closest to you to get some
extra, short-term support immediately to help you get through this challenging
time. https://www.camh.ca/en/health-info/crisis-resources 
If you are feeling comfortable to reach out for extra
support, CMHA is also a wonderful resource, and you can check out their
website: https://ontario.cmha.ca/local-cmha-branch-supports/
to find a branch near you. They offer support for both addictions and mental
health. 
Alternatively, if you are still finding it hard to reach out
to someone new, here is a self-help resource that you are able to review on
your own and hopefully, some of the information might be helpful to you. https://valleycentreforcounselling.com/onanxiety
 
"
68,"
I work in a long term care home and the home just declared on outbreak. I am having really bad anxiety going back into work now after hearing the news. Does anyone have an ideas on what I can do. All I do is hide in my room on my days off and I cry my eyes out thinking about the next time I go into work . I start to panic and my breathing goes all weird and I get sick to my stomach. I can't sleep because it's always on top of my mind. 
"
69,"
Hello basketball11 love101, thank you for sharing this with us and for choosing to reach out for support on here. I know it is not always easy.
The work you do on the front line is really indispensable and feeling anxious and stressed about this is only normal really.Crying can be therapeutic, and if that's what helps you cope then that is completely okay.I want to invite you to try this 6-session self help program for anxiety.I would also strongly encourage you to check out the camh.ca/covid19 page for strategies and tips that can help you manage your mental wellbeing amidst all of this.Sometimes having practical information and guidelines on how to manage and mitigate infection risk can be helpful. If you are interested, you can consult the WHO Advice for Healthcare workers here.Additionally, the government of Canada has issued guidelines for workplaces to follow during the pandemic, including the use of PPE when necessary. You can check out their guidelines here.I hope this helps! If you notice that your symptoms of anxiety are significantly interfering with your ability to function normally, I encourage you to reach out for formal mental health supports from a recognized agency. The Canadian Psychological Association has provided information where front line workers can access free mental health support hereIt would be helpful to know if any other people on here have been in a similar position, and what they did to manage this?
"
70,"
Hello,I am really having a difficult time. According to my Pharmacist, my antidepressant of 30+ is on back-order and I will run out of it on June 10, 2020. I am really scared. It has been the only medication that has worked for me. It's called NARDIL. Anyone else here having this same issue with this medication???
"
71,"
Hello Butterflyna I am,
Thank you for your post, and for reaching out to the community in this discussion forum for help. I can see that you are scared of running out of your Nardil medication next month. It is true that Canada is currently having concerns about their medication supply because of COVID-19. 
In the meantime, it might be helpful for you to seek other resources and support on the side in order to help manage your fear and mood. For example, speaking with your doctor to see if there are any alternatives. Also, you might consider seeking out a therapist to have virtual check-ins who can also guide you on ways to manage your mood, fear, etc. 
In the meantime, you can also access mental health resources, courses and tools on the Big White Wall.It would be helpful to know if any other users have experienced this too, and what they did to manage this?
"
72,"
this happened to me a while ago. I went on another medication temporarily and then switched back to my usual medication. It wasn't perfect but it worked out ok and I didn't get worse. I have a good therapist who provides me support. She taught me that medication helps with part of the problem but there are other things I do that also help.  I also tell my doctor exactly how I feel and ask her to give me more than one option.
"
73,"
Hi Mia,
Thanks for your reply. I have had to deal with this happening before and my doc did try me on other meds which only caused more problems. I realize that the medication is only part of the problem. Covid 19 and this is really taking me to a dark place. Unfortunately I only have this one option due to trying all kinds of other meds to no avail. I will stick it out and see if things change. Again, Thank you.
"
74,"
Covid is really throwing me into a loop too. I hate it. But I tell myself every day that I'm bigger than this. Just when one challenge is done, another one comes my way. But I'm doing the best I can and will never give up. Hang in there !
"
75,"
Hi.
Yes, I have a good doctor and support from DMHA right in my building. My pharmacist is assisting and I have also a great group of friends for support. I am also a member on the Big White Wall. I was hoping to reach out on here because I live just outside the GTA. Thank you for your reply and I am looking forward to support and helping others on this site.
"
76,"
Feeling down and there are days I feel as if I just want to sleep and forget about all of this. Work has been very difficult and I find myself having times that I feel like I’m failing at everything. I feel hopeless at times. I know I should be getting out and walking but I can’t seem to move right now. I want things to get back to normal but they aren’t. 
"
77,"
Hi Cr R thanks for posting here again. This situation can make many people feel down and it can make things like work feel more difficult than ever before. I am sorry to hear that you are feeling hopeless at times and don’t feel like you are able to get out and go for a walk. It can be helpful to reach out to loved ones for support, and if you feel like you still are not coping well, it’s usually a good idea to get assistance from a family doctor, a counsellor or a crisis line. Just a reminder, this platform is not a crisis support service, but we do care about your safety. If you are in crisis, feeling suicidal, or need emotional support, please call the Distress Centre at 1-833-456-4566 or text 45645. If this is an emergency or an urgent matter, it’s important you get help right away, so please call 911 or go to your closest emergency room. I hope this helps!
"
78,"
I am like this all of the time. I have gone to my local ER many times, only to be sent home. I am alone. Lost my family many, many years ago, and lost my second family through a divorce that is still ongoing. How do you feel any hope, when even the professionals are telling you that they aren't qualified to help you? I have C-PTSD, Major Depression, Agoraphobia etc. I would like to try CAMH as I know that I need an inpatient program, but would need someone to drive me there and not sure that I want to drive there, only to have them turn me away. I have huge issues using the phone, so that doesn't help. Tired of being turned down.
"
79,"
Hi there, thank you for sharing your experiences with us today, you showed a lot of strength and courage by doing that. It can be discouraging not being able to get the help you need, but it seems like taking care of your mental health is important to you. There are many programs that may be able to offer you support either in person or over the phone/computer. If you are interested in accessing CAMH services, I encourage you to call 416 535-8501, option 2. You can also find more information at www.camh.ca/en/your-care/access-camhYou can also call ConnexOntario for 24/7 mental health information at 1-866-531-2600 Although this discussion forum is not a crisis support service, your safety is important to us. If you are in crisis, feeling suicidal, or need emotional support, please call the Distress Centre at 1-833-456-4566 or text 45645. If this is an emergency it is important to get help right away by calling 9-1-1 or visiting your nearest emergency room. I hope this helps, please do not hesitate to keep posting and sharing your experiences with us. 
"
80,"
Sorry that you are feeling down ,a lot of people are feeling that so you are not alone .Getting up and moving around or going outside even sitting on the porch if you have difficulty walking or just walk around the house and smell the air and the roses or take up hobbies or read or call a friend or FaceTime them , I hope this helps you , if you need a friend I’m here for you , maybe we can try to connect online
"
81,"
Hi Cr R,
I can so relate to your post. I am like this every day. No one can beat me up like I can and there is so much I need to do. Laundry is the main one for me. Getting out for walks would be nice if the weather wasn't SNOW these past few days lol. I do the best I can one day at a time and some days I do sleep. One thing I do that I enjoy is going for a coffee. I drive there (social distancing/mask worn) and go through the drive thru. They have protective measures up. It is my way of getting out for at least one thing pleasurable a couple times a week. I bring a crossword to do also (I enjoy them). I do my best and my best is different each day. I'll get the things I really need to done eventually. I just do. (cutting my nails so I can type will be first on my list now) :)   I'm not gonna beat myself up anymore. I am doing the best I can and that is good enough for me today. Blessings to you. I hope you find some small thing you can look forward to each day, one day at a time.
"
82,"
This is very encouraging to read Butterflyna I am ! It sounds like you have been proactively putting in an effort to remain active and positive during these challenging times.
Keep up with the positive spirit and thank you for sharing this with us :)
"
83,"
Just to add..... having compassion for ourselves during this time is important. It's a challenging time for most of us to setting realistic expectations is ok. So if all you can do on a particular day is go out for a coffee, then that's ok.
"
84,"
Found out recently I'm at a higher risk of infection because of my medication. It's only every 6 months and the highest risk times are the days/weeks following a dose. Unfortunately my next dose is this week and my fear has gone through the roof.Having to commute to a clinic (thankfully not being done at the hospital) and sit through the administration of the medication which takes 5-6 hours and makes me feel exhausted and just crappy only to have to commute home, knowing my immune system was just partially obliterated and then waiting for a few weeks through the usual discomfort it causes hoping I didn't catch anything has had me completely wound up.Made worse by the fact that I need to go to downtown Toronto, to a hospital, to get a test done, a week after i get this medication given, I'll still be elevated risk and coping with the associated fear of the given circumstance is feeling overwhelming.
"
85,"
Hello Ethel, Thank you choosing to share this with us.
You stress and feeling overwhelmed are completely justified given that you're dealing with health concerns amidst a pandemic that puts you at higher risk. This can really be a lot to deal with.If you feel your health is being compromised, I strongly encourage you to bring up these concerns with with doctor to make sure you are getting the appropriate support and potentially even discuss alternative options.
And I do want to acknowledge the resilience and strength it takes to still be on top of your appointments and treatment despite everything that is going on. I recognize it is not easy.I encourage you to think back to strategies that helped you in the past when you were feeling overwhelmed. Those can be a good resources to rely on for coping.
You may also find it helpful to access these resources to help you manage the anxiety and stress:Interactive tools and tips for mental wellbeing during COVID19 A 6-session self help program for anxietyAnother great resource is the Distress Centre to discuss how you are feeling. You can call them at 1-833-456-4566 (available 24/7) or text ""Start"" to 45645 (available 4pm-12am ET).It can be helpful to reach out to loved ones for support as well during such challenging times.I hope you fid this helpful and I hope you stay safe and well
"
86,"
I miss my friends and can't see them anymore. I wish I had other ways to feel supported. What do I do?
"
87,"
Hi Cactus 1994
Thanks very much for your post. It can feel challenging keeping socially connected while maintaining social distancing practices.  At the same time, reaching out to this discussion forum is one place you can connect with others and get support. As for your seeing your friends,  technology gives us some more options for staying connected and seeing each other while we are apart - FaceTime,  Zoom, Houseparty are a few examples. I'd love to hear what others have found helpful.
"
88,"
https://www.camh.ca/en/health-info/mental-health-and-covid-19
This is a link to mental help resources , hope this helps
"
89,"
Hi scott stafford, thank you for sharing the resource with Cactus 1994.
"
90,"
Given the current situation, globally, we certainly are not alone regarding a disconnect from what was the norm not very long ago. However, for me, I've taken the opportunity to ""Look"" deeply within without any judgment whatsoever and to also appreciate what is right, like the sun, the rain, a blue sky, the clouds, flowers starting to grow, listening to sounds of nature, going for walks, reading a book etc. For many people they may in fact find it difficult doing ""No-thing"" , however, doing nothing is its own meditation and in fact is ""Effortless"". Riding the wave of life embracing it with all of our senses can invoke a real sense of freedom from what might have been the ""Norm"". This can be a time for reframing how we think and feel and improving lifestyles, taking breaks from information overload, and being present to what really matters. This could be a time for Clarity in our lives about what we actually need versus the things we may want. One thing for sure, many feelings and emotions are similarly felt regardless of what part of the Globe you reside we can all relate to Love, Support, Compassion etc.
"
91,"
Thank you for such an insightful post, Gary! It is refreshing to hear other perspectives.
This is certainly giving me something to think about.. thanks for sharing!
"
92,"
You're sincerely welcome!~ :-D
"
93,"
This is a great reminder, thank you! What are things we can do to help people around us? I want to help my neighbours, but I know for everyone's safety (and my own) I still have to keep a distance.
"
94,"
Thanks for your post Ihave aquestion.
Wanting to help others while also maintaining everyone's safety is an important consideration.
Some possible suggestions could include: 
1 -leaving some needed sealed items in a donation box in a common area (lobby if you're in a building or side-walk area).
2 - if you know there is a neighbor who could use a bit of help and may find it difficult to go out into the community you may consider offering to pick something up at the grocery store for them when you run your errand. 
I'm curious to hear any suggestions that others may have.
"
95,"
This forces us to think of what we can correct in our lives mentally and physically and take courses online and spending time with your family
"
96,"
I get we have to follow the rules now. But I'm getting stressed thinking about how long we have to do this for. What if we are still forced to stay home in the summer! 
"
97,"
I agree!! I don't want to stay inside during the summer...imagine we can't live life like we normally do. This is getting hard :(
"
98,"
Hi Pauly P and Plant Lover, thank you for sharing your valid concerns with us. It can be stressful to think about how the pandemic is disrupting normal life, and not knowing how long this situation will last. Even though we are encouraged to maintain social distance, there are still ways to enjoy the warm weather as summer approaches. Consider stepping out for some fresh air or going on a walk/run. Physical activity is also a great way to reduce stress and improve your mood!
For more support on coping with stress during the pandemic you can also check out the resource here: http://www.camh.ca/-/media/files/camh_covid19_infosheet-challenge_worries-pdf.pdf?la=en&hash=C353ECA675B347D3F37EBCA7F0E25E5FEDC2413F
"
99,"
Yes, I hear you.  One thing I am doing is playing a trick with my mind.  I am telling myself that we will be in lockdown until September at the earliest.  Then when restrictions are slowly lifted before that, I will feel a sense of relief.  But for now, my mental trick is: ""4 more months"", only to be elated when it's not.  I can see however, that this might make the picture look even worse.  But this mind trick is working for me--on most days.
"
100,"
I try to ""trick my mind"" but then the thought of being in lockdown until September causes me so much more anxiety! What do I do?
"
101,"
Hi ihave aquestion,
There is no “one size fits all” solution to how we cope with our current situation. There is no right or wrong way to feel about this situation, but there are thoughts that might make us feel worse or better. It might help to focus on what makes you feel better when possible. For example, is it more helpful to focus on just today? What do you normally do to feel better when your anxiety is high? 
And give yourself credit for trying to get through this! It's not an easy time, and your effort deserves to be recognized.
If you haven't seen this yet, you can find some more information about coping with anxiety during COVID-19 here:
https://www.camh.ca/en/health-info/mental-health-and-covid-19
"
102,"
Until the health officials feel satisfied with the curve of the virus that it is safe to , my trust is in them only , I have mixed emotions about going back to work
"
103,"
I am a healthcare worker and took a leave of absence because of school closures. My husband has been working from home but wouldn’t have been able to homeschool our kids. We live my my parents one of whom has hypertension and had a heart attack a few years ago. My siblings were very concerned about me going to work and putting my parents at risk. I feel tremendously guilty that I should have been working during this time and should have put my workplace first during this pandemic.  I do overcome this guilt and resentment 
"
104,"
Thank you for sharing your experience. 
It sounds like you really value your work and it has been difficult for you to adjust to the choices you have had to make during this challenging time. Feelings like guilt and resentment can make it ever harder to cope with this situation, however these are also normal emotions that can help us make sense of things.
You seem to have a desire to help your community through your work, while also keeping your family safe by staying home. Either way, you seem to be doing what you can to help others, even if it is not in the way you had hoped. 
Here are some resources that you may find helpful as you process the difficult emotions you’ve mentioned:
CAMH COVID and Mental Health: https://www.camh.ca/en/health-info/mental-health-and-covid-19
CMHA COVID Mental Health Tips: https://ontario.cmha.ca/news/cmha-offers-tips-to-support-mental-health-amid-concerns-of-covid-19-pandemic/
"
105,"
We, as most people, are trying to stay home as much as possible and have not had any visitors since all this began, nor have we gone to visit anyone. We couldn't even have a funeral for a recent close family member. Our close neighbour (same building) has a constant flow of people in and out every day. Non essential visitors. Multiple people in a very small apartment. An apartment that the heating system is shared with our apartment (meaning we get to share the same air as a bunch of strangers). Has anyone else had neighbours abusing/violating social distancing? What have you done about it, what CAN you do about it? 
"
106,"
Thank you the dude abides for sharing your thoughts with us today. First, I am very sorry to hear about your family member, my sincere condolences.
It can be concerning to see neighbours violating social distancing measures when you are trying your best to stay home and avoid visitors. The Toronto Star recently shared an article, “What should I do when I see someone ignoring social-distancing despite COVID-19”. While we do not always know someone else’s situation, the article suggests allowing individuals to explain the reasoning behind their actions, and avoid using accusatory language. You may also choose to call an authority figure (such as a bylaw officer) to avoid direct contact with the individual. For more tips and advice from experts you can read the article here: https://www.thestar.com/news/canada/2020/04/05/what-should-i-do-when-i-see-someone-ignoring-social-distancing-despite-covid-19.html
Has anyone experienced a similar situation? How have you responded?
"
107,"
Thank you for your condolences, it is appreciated. Also thank you for the link, I'll have a look. We have a similar bylaw contact line and email address here in London.
"
108,"
I know we’re all eagerly waiting to see the number of cases of COVID-19 each day, sometimes every day can feel SUPER LONG..  I find myself wondering when all of this will end.So I’ve started doing small things around my house in preparation for summer time (fingers crossed we get one!). In times of uncertainty, I find that I always need something to look forward to.. so I started packing away my winter + spring clothes, cleaning up the yard, spring cleaning etc. choosing to focus on something positive and exciting has taken away the depressing reality of being stuck indoors. 
"
109,"
Hi summer girl20, thank you for your post. I'm happy to hear that you are staying productive and choosing to focus on something positive and exciting to help you get through this time!
"
110,"
hello and thank-you for your post! I also am doing Spring cleaning up the yard, decorating my front porch for Spring, getting planters ready (sure am hoping we can get plants this year) and will wash some windows this weekend. Thanks for the idea of summer clothes!! That one is on my ""to do list""
stay home and healthy!!
"
111,"
I think that is a great idea!  You've inspired me to put out winter coats and boots in the basement and give our front door closet a clean.
"
112,"
This is great! I been doing small things around my house too each week (e.g., cleaning my closet, cleaning under my bed, organizing my kitchen cabinets etc.). I'm so happy I can finally do these things that I've been putting off for so long. What else are others doing?
"
113,"
I'm so happy to read these comments with great ways of being productive and staying positive in these trying times.
Keep up with those positive spirits and continue to share it with others.
"
114,"
I think for a lot of people 2020 was supposed to be the year where everything changed for the better. It was supposed to be a year filled with new experiences, momentous changes and achieving lifelong goals. For me personally, I had this notion in mind that this would be the year where all the plans I laid out would come to fruition through diligence and honing in on the infinite potential that lies within. Then COVID 19 happened. It was an entirely unexpected, unpredictable left turn. Suddenly. all the strategies I had been working on to push my dreams into reality had to be reassessed, if not, put on the back-burner entirely. But even beyond that I knew that so many people around the world have been suffering indescribable losses far beyond my comprehension due to this pandemic. In a way this  can be felt in the air around us. As I've been attempting to adjust to this new routine, there have been ups and downs. An understanding that has helped me stay positive through all of this is realizing that sometimes the medicine that we need to heal us is often bitter. I think that being in isolation is forcing a lot of people to slow down and reassess their own priorities. In my case, it helped me stop and really strengthen my intentions as well as add more details to the goals that I had been visualizing. I only now understand how important this step is in my journey. If I look back at life, I know, beyond a doubt, that the most difficult experiences in my life became the catalyst through which I grew and changed for the better. I find solace in this awareness. Another mental exercise that has helped me is practicing mindfulness. Just last night, I watched a lecture which said that mindfulness is not just breathing or meditating but it is the simple act of being present... entirely present. By this, it means to not focus on the future or the past but to simply soak in where you are right now. If you are eating a piece of fruit for instance, its to notice the fruits sweetness or the fact that you have a chair to sit in and a house that is warm. Perhaps its noticing that the room is quiet and you have time to think. This has deepened my sense of gratitude for the incalculable blessings that exist everywhere. I've also tried to take my previous goals and create micro-goals that I am actually able to work on while in self-isolation. These are just a few thing that have helped me. I hope everyone is staying safe and truly we are all in this together.
"
115,"
It sounds like you have really been able take this time to reflect and grow. Thank you for sharing this!
"
116,"
Wow this was so well articulated. Thanks for sharing this, I can't agree more with you!
"
117,"
I am worried about going grocery shopping. It's causing me so much anxiety! I wear a mask and gloves but I still feel like I'm going to catch something and spread it to my family. I tried ordering online but the wait time is too long. What do I do?! 
"
118,"
Hi ihave aquestion - thanks for this post! This is a concern shared by others on the discussion board too. It sounds like you are doing all the right steps to keep yourself and your loved ones safe.  Some have found shifting their approach to shopping from a 'what do I want?' to 'what do I need?' helpful. Others have suggested doing big bulk shopping online (when a space is available!) and only going to the store for essentials when urgent, while they wait for their delivery.
There was a great discussion and video on best practices for shopping in the grocery store on our discussion board  you can get it by clicking here. I hope this helps!
"
119,"
I leave my groceries in the garage before bringing them in and then wipe them down with a Clorox wipe or rag with soap and water.
"
120,"
HelloI am finding that due to the COVID 19 situation I am feeling down. I do struggle with ongoing depression but have been stable for a number of years. However I find my sleep patterns are being impacted where I want to sleep more then usual. Also I feel like crying a lot.  I'm trying to manage work and kids during this and finding some days to be difficult. 
"
121,"
Hi Cr R, thank you for your post today. Times like these can
be very tough and this situation can make many people feel like they want to cry.
Managing your work and kids during these times can also be difficult,
but it sounds like you’re trying your best and I applaud you for that. 
Try recalling which strategies helped you when
you were feeling down in the past. You can rely on many of those strategies, although they might need to be tweaked a little. Also, keeping a consistent sleep schedule
can help people get back into a routine as well. 
It can be helpful to reach out to loved ones for support,
and if you feel like you still are not coping well and crying very often, you may need extra support
from your family doctor or another health professional. You can also visit www.camh.ca/covid19 for
more resources, which I hope are helpful to you!
"
122,"
I find that forcing myself to go for a walk when I'm feeling sad can also help. Take the kids with you if you can or even better go by yourself to take a break! And cry if you have to - that usually makes me feel better. Nothing wrong with crying.
"
123,"
Thanks for sharing these great suggestions, Mia! I agree, absolutely nothing wrong with crying, it can be helpful when we are feeling down and faced with difficult situations. However, if you are noticing that you are crying very often, you may need extra support from loved ones, your family doctor or another health professional. 
For more tips on managing work and kids through COVID-19 feel free to also check out this discussion thread. 
"
124,"
Hi,Although my husband is currently working from home and has set up an excellent office for himself in the basement, his boss has been pressuring him to work from the office. My husband’s team member was recently let go so he is in charge of training the new hire, which he is currently doing through phone calls, Skype and screen sharing. His boss believes that the new hire can be trained more efficiently in person, while still maintaining social distancing. My husband has repeatedly tried to explain to his boss that he doesn’t feel safe going into the office and would rather train at home. The new hire feels the same way. Furthermore, in person training would still result in screen sharing since they would be sitting far apart. My husband is feeling immense pressure as he is trying to balance training his co-worker and getting his own work done at a rate that is sufficient for his boss. On the other hand, if he goes into the office, he would only be putting his health and other people’s health at risk. For now his boss let him work from home this week, but will decide the outcome of next week based on his performance.How should he go about dealing with this situation?
"
125,"
Hi there, I am sorry to hear that your husband is feeling immense pressure from work. I can understand why it is important to him to minimize his own risk to his health and to others, during this time. I am happy to hear that his boss is allowing him and the new hire to trial training from home, and I hope it works out successfully. In the event that he has to return back to work, I would highly suggest that he review the COVID-19 Guidelines for Workplaces/Businesses and Employers created by Toronto Public Health with his employer/team, to help reduce everyone’s risk at his workplace: https://www.toronto.ca/wp-content/uploads/2020/03/9538-Fact-Sheet-for-Workplaces-Non-Healthcare_final.pdf. Hope this helps!
"
126,"
Thank you! Yes that resource is very helpful!
"
127,"
Will there be any additional financial supports or wage boosts for part time research analysts making under 2000?
"
128,"
Hi George Hockey, thanks for your post! Times like this bring a lot of questions about our job and financial support. Unfortunately, we are unable to provide you an answer to this question. Since this discussion forum is focused on Mental Health and COVID-19, maybe the best source would be your manager. If you would like any resources to deal with stress related to COVID-19 and finances, please feel free to post again or reply to your thread. Thanks again for posting.
"
129,"
I work in the bank and we have plexiglasses now. I’m worried this isn’t enough and I’m stressing I’m at a high risk of exposure. Will I be safe if I wear a mask and keep my distance while working?
"
130,"
Thank you for your post and sharing your concerns. It is quite normal to feel worried and stressed during this time, especially as a front-line worker at a bank. By taking safe measures like keeping a distance and washing your hands often, you are doing your part in limiting the risk of exposure. Here's a resource that explains when and how to use a mask:  https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/when-and-how-to-use-masks
"
131,"
I work in an office, have locked the doors so customers have to call first. I have plexiglass up and I clean non stop. I wash and use hand sanitizer.  I still stress and actually cry on the way to work and sometimes on the way home.  There are days where I just want to leave and not open again. I do have 3 others still working with me that want to work and can only work if I stay.  Havent slept properly in weeks, my stomach is in knots all the time.  I find going for a little drive with the music blasting and forcing myself to sing with it really helps.  By the end of the drive Im singing happily and forgetting whats going on for a little bit. So if you see a crazy person singing at the top her lungs and hurting your ears, you know its me lol
"
132,"
Hello Maggie
Thanks for sharing how you are feeling about all of this. It looks like you are doing everything that we've been advised to do to reduce the risk of infection such as washing hands. The plexiglass is also an additional protective measure. So it sounds like your risk is actually pretty low. However, it's normal for some people to feel very stressed and anxious about this pandemic. It's good that you have some strategies that help support you like the music and singing to yourself - you actually made me laugh with your last statement. Do whatever works. I strongly suggest you check out the camh.ca/covid19 page for additional strategies that do help people. But sometimes people may need more support - don't forget to check out some of the additional resources on this page in case you want to call to talk to someone about how you are feeling.  Remember that you are doing the best that you can and by taking the steps you have taken, you are reducing your risk significantly.
"
133,"
Why do I feel more anxious about going to the grocery store than I do about going to work.... I'd rather be at the hospital working those frontlines than going to the grocery store. Also how can some essential places still be open without providing PPE to them.. do employers know this is now community spread. 
"
134,"
Hi S Kau, thanks for sharing your thoughts with us. Kudos to you and all our frontline workers, your strength and efforts during this time are truly appreciated! 
Feeling anxious about going to the grocery store is certainly normal during the pandemic. While we can’t always control the environment around us, we can take steps to reduce the risk and spread of infection, such as practicing good hand hygiene, social distancing and wearing a non-medical face mask when we cannot maintain proper physical distance (such as grocery shopping). For more tips on grocery shopping during COVID-19, check out this video watchYou may also find it helpful to access our webpage on managing anxious thoughts http://www.camh.ca/covid19#coping
Having questions about the use of PPE by essential employers is also understandable. The government of Canada has issued guidelines for workplaces/businesses to follow during the COVID-19 pandemic, including the use of PPE when necessary. You can check out their guidelines here: https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/guidance-documents/risk-informed-decision-making-workplaces-businesses-covid-19-pandemic.html
"
135,"
I realize this is a hard time...it's a lot for many people. Including myself. I've been trying to genuinely focus on some of the positive things that have come from all of this. For example, I've noticed people enjoy being around others more (direct family). I see more kids on my street, and their parents actually playing with them. I see all the different pets on my street that I never have before, and I realize how happy they are to be outside with their owners. I notice the grass is getting greener, and some trees are beginning to sprout their flowers. I notice more squirrels, bunnies, and birds.I have separated myself from the news as much as possible. I've distanced more from social media. And I've kept more in contact with my friends and family. I've begun practicing yoga, going on runs, and caring for my plants.What positive things have you noticed?
"
136,"
Hi Cactus 1994! I agree, I see many more positive things too. Especially with spring coming along. Thinking of this stuff helps people get through these difficult times. It's not that we're necessarily ignoring what is going on, but we distribute how much we can worry about  one thing, and make way for more balance in our life by thinking of the positives. Thanks for your post! I'm wondering if anyone else has noticed things like this as well?
"
137,"
Hey Cactus 1994, I’ve noticed the same things you’ve listed above. More people are realizing the benefits of self care. This time has allowed them to appreciate simpler things in life that we might have taken for granted. With discussion with friends, more people are talking about the benefits of creating a good work life balance moving forward.
"
138,"
How do I attain my Psychiatrist's email? I have concerns in regards to the medication I've been prescribed. Thanks
"
139,"
Hi there, some healthcare providers are following up with their patients through virtual appointments, such as webcam and phone calls. I would suggest that you call “Access CAMH” where they can provide you with more information about how you can get in touch with your provider. Simply call (416) 535 8501, option 2. We hope you get the care that you deserve!
"
140,"
I have a 4 year old and we have deliberately not exposed him to screens very much at all. He does not know how phones or iPads work.  He only started watching movies 3 weeks ago (we now do a family movie afternoon once per week).   On average, he watches about 15 minutes per day and this started back in November.  He is very articulate and communicates well with adults and children and is quite advanced for his age, verbally.  The problem now is, well...you all know what the problem now is.  I have meetings to attend and work to do.  He refuses to do any independent play and I don't get even 5 minutes to myself all day. He is an only child.My question is:  what have parents in a similar situation been doing about screen time during Covid-19?  I would love to hear how others' experiences of managing screen time during this stressful time.  Thank you. 
"
141,"
Hi Guitar Girl, thanks for sharing with us. It can definitely be challenging balancing working from home and caring for children all at once. 
It sounds like minimizing your child’s exposure to screen time is important to you. It can be helpful to create a daily routine with a list of activities that your child can engage in. Although they may not stay occupied for long stretches of time, it may help create blocks of time where you can get work done. Check out these resources for ideas, tips and support on coping with kids during the COVID pandemic. 
•	https://www.covidwithkids.org/home
•	https://childmind.org/article/supporting-kids-during-the-covid-19-crisis/
•	https://justworks.com/blog/parents-working-from-home-during-covid-19-how-manage-the-workday
Practicing self-care and managing your own stress is also important during this time. It may be helpful to speak to your employer about your concerns so that you can work together to develop a potential solution (i.e.  flexible hours, reduced workload etc.). You can also visit our web page on coping with stress http://www.camh.ca/covid19#coping.
"
142,"
Just a question. Wasn't sure where to turn onto ask..I see a psych doctor at Camh regularly  for counselling and meds. Since Covid has started I have not heard from them at all. I emailed once to reach out, but no response and with them being my only support I am feeling left behind and struggling. I heard a few people from programs I have been in that their doctors/workers have reached out to check on them and I am just wondering is this the norm? Are doctors emailing and calling to checking on patients? Or is this something not to expect? Are you all talking to your doctors or like me and left to fend alone? And if you are fending by yourself, how are you getting by? *people say to reach out to your supports, but it's hard when you have 1 friend and 1 doctor for support*
"
143,"
Thanks for sharing your valid concerns with us today. It can be difficult not being able to access your regular health services during this time. Some healthcare providers are following up with their patients through virtual appointments, such as webcam and phone calls. I would suggest calling “Access CAMH” where they can provide you with more information about how you can get in touch with your provider. Simply call (416) 535 8501, option 2. 
It is certainly normal to feel alone during these times, especially if you are feeling like there is little support around you. This discussion forum is a great space to offer and receive support, so we encourage you to continue posting and sharing your experiences. It is also important to make sure you are taking care of yourself. I encourage you to visit our website http://www.camh.ca/covid19 for more information and resources on getting support and managing your health during the pandemic.   
"
144,"
I feel like I can't escape the news or information about what is happening outside of my control. I'm trying to avoid getting depressed again but it's very hard. I'm using all of my MCBT techniques and it helps until I get the next news alert from a friend, family member, or google. How much information is healthy at this point?  I'm just really overwhelmed. I feel myself ruminating and I am not sure how to stay mentally healthy during this time. Am I not doing enough because I'm not baking, exercising, cooking, working, learning a language, painting, and learning an instrument? I just want to maintain the progress I've made. 
"
